Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G264201	PC(18:1_18:2);PC(18:2_20:4)	22;23	SNP_49013404;SNP_49028360	1.766709e-10;3.798547e-10	2
1	SORBI_3001G264300	PC(18:1_18:2);PC(18:2_20:4)	19;23	SNP_49028360;SNP_49028360	1.766709e-10;3.798547e-10	2
1	SORBI_3001G264400	PC(18:1_18:2);PC(18:2_20:4)	19;23	SNP_49028360;SNP_49028360	1.766709e-10;3.798547e-10	2
1	SORBI_3001G269650	PC(16:0_22:6);PC(18:3_0:0)	47;46	SNP_51696347;SNP_51696347	7.8144e-08;3.621521e-08	2
1	SORBI_3001G272700	PC(18:1_20:4);PC(18:2_20:4)	23;20	SNP_52708309;SNP_52708309	9.481175e-08;1.782059e-09	2
1	SORBI_3001G273400	PC(14:0_18:3);PC(18:2_20:4)	25;44	SNP_52889345;SNP_52888640	9.251632e-08;2.139142e-08	2
1	SORBI_3001G273500	PC(14:0_18:3);PC(18:2_20:4)	39;52	SNP_52894724;SNP_52891013	9.251632e-08;2.139142e-08	2
1	SORBI_3001G311700	PC(14:0_18:0);PC(14:0_18:2)	86;164	SNP_59843709;SNP_59843070	8.316551e-08;1.09987e-09	2
1	SORBI_3001G311800	PC(14:0_18:0);PC(14:0_18:2)	85;155	SNP_59844733;SNP_59844733	8.316551e-08;1.09987e-09	2
1	SORBI_3001G311833	PC(14:0_18:0);PC(14:0_18:2)	76;143	SNP_59849457;SNP_59849457	8.316551e-08;2.116827e-08	2
1	SORBI_3001G311866	PC(14:0_18:0);PC(14:0_18:2)	92;147	SNP_59853923;SNP_59853878	8.316551e-08;2.116827e-08	2
1	SORBI_3001G312500	PC(14:0_18:0);PC(16:0_16:0)	42;55	SNP_59929990;SNP_59929990	1.886434e-09;4.781372e-08	2
1	SORBI_3001G384200	PC(16:0_20:3);PC(18:1_24:1)	68;101	SNP_67150295;SNP_67150295	4.816626e-08;3.265054e-09	2
1	SORBI_3001G440700	PC(14:0_18:3);PC(16:2_16:1)	3;1	SNP_71881176;SNP_71881176	2.97737e-19;2.109096e-09	2
1	SORBI_3001G440800	PC(14:0_18:3);PC(16:2_16:1)	3;1	SNP_71881176;SNP_71881176	2.97737e-19;2.109096e-09	2
1	SORBI_3001G440900	PC(14:0_18:3);PC(16:2_16:1)	4;2	SNP_71881176;SNP_71881176	2.97737e-19;2.109096e-09	2
1	SORBI_3001G441000	PC(14:0_18:3);PC(16:2_16:1)	4;2	SNP_71881176;SNP_71881176	2.97737e-19;2.109096e-09	2
1	SORBI_3001G467100	PC(18:1_20:4);PC(18:2_20:4)	13;20	SNP_74012184;SNP_74012184	5.796615e-09;4.352244e-11	2
1	SORBI_3001G467150	PC(18:1_20:4);PC(18:2_20:4)	7;8	SNP_74020460;SNP_74015755	5.796615e-09;4.352244e-11	2
1	SORBI_3001G467200	PC(18:1_20:4);PC(18:2_20:4)	21;28	SNP_74024075;SNP_74024075	5.796615e-09;4.352244e-11	2
1	SORBI_3001G467300	PC(18:1_20:4);PC(18:2_20:4)	19;26	SNP_74027667;SNP_74027667	5.796615e-09;4.352244e-11	2
1	SORBI_3001G467400	PC(18:1_20:4);PC(18:2_20:4)	18;25	SNP_74037401;SNP_74037401	5.796615e-09;4.352244e-11	2
1	SORBI_3001G467500	PC(18:1_20:4);PC(18:2_20:4)	18;25	SNP_74037401;SNP_74037401	5.796615e-09;4.352244e-11	2
1	SORBI_3001G467600	PC(18:1_20:4);PC(18:2_20:4)	3;3	SNP_74047940;SNP_74047940	2.388951e-08;1.104043e-10	2
1	SORBI_3001G526900	PC(18:1_20:4);PC(18:2_20:4)	85;91	SNP_79103254;SNP_79103254	1.539337e-08;3.929503e-10	2
1	SORBI_3001G527000	PC(18:1_20:4);PC(18:2_20:4)	72;79	SNP_79111599;SNP_79111315	1.539337e-08;3.929503e-10	2
